"key","pref","city","kcity","rcom","pref_name","city_name","kcity_name","rcom_name","JAうま","JAえひめ中央","JAえひめ南","JAえひめ未来","JAおちいまばり","JAにしうわ","JAひがしうわ","JA今治立花","JA周桑","JA愛媛たいき","JA松山市"
"3820101085","38","201","01","085","愛媛県","松山市","松山市","北吉田",0,1,0,0,0,0,0,0,0,0,1
"3820101086","38","201","01","086","愛媛県","松山市","松山市","南吉田",0,1,0,0,0,0,0,0,0,0,1
"3820101087","38","201","01","087","愛媛県","松山市","松山市","富久",0,1,0,0,0,0,0,0,0,0,1
"3820101088","38","201","01","088","愛媛県","松山市","松山市","久保田",0,1,0,0,0,0,0,0,0,0,1
"3820101089","38","201","01","089","愛媛県","松山市","松山市","高岡",0,1,0,0,0,0,0,0,0,0,1
"3820101090","38","201","01","090","愛媛県","松山市","松山市","東垣生",0,1,0,0,0,0,0,0,0,0,1
"3820101091","38","201","01","091","愛媛県","松山市","松山市","西垣生",0,1,0,0,0,0,0,0,0,0,1
"3820101092","38","201","01","092","愛媛県","松山市","松山市","樽味",0,1,0,0,0,0,0,0,0,0,1
"3820101093","38","201","01","093","愛媛県","松山市","松山市","東野２丁目",0,1,0,0,0,0,0,0,0,0,1
"3820101094","38","201","01","094","愛媛県","松山市","松山市","東野１丁目",0,1,0,0,0,0,0,0,0,0,1
"3820101095","38","201","01","095","愛媛県","松山市","松山市","正円寺",0,1,0,0,0,0,0,0,0,0,1
"3820101096","38","201","01","096","愛媛県","松山市","松山市","畑寺",0,1,0,0,0,0,0,0,0,0,1
"3820101097","38","201","01","097","愛媛県","松山市","松山市","三町",0,1,0,0,0,0,0,0,0,0,1
"3820101098","38","201","01","098","愛媛県","松山市","松山市","松末",0,1,0,0,0,0,0,0,0,0,1
"3820101099","38","201","01","099","愛媛県","松山市","松山市","束本",0,1,0,0,0,0,0,0,0,0,1
"3820101100","38","201","01","100","愛媛県","松山市","松山市","桑原",0,1,0,0,0,0,0,0,0,0,1
"3820101101","38","201","01","101","愛媛県","松山市","松山市","祝谷",0,1,0,0,0,0,0,0,0,0,1
"3820101102","38","201","01","102","愛媛県","松山市","松山市","石手",0,1,0,0,0,0,0,0,0,0,1
"3820101103","38","201","01","103","愛媛県","松山市","松山市","上市南",0,1,0,0,0,0,0,0,0,0,1
"3820101104","38","201","01","104","愛媛県","松山市","松山市","上市北",0,1,0,0,0,0,0,0,0,0,1
"3820101105","38","201","01","105","愛媛県","松山市","松山市","南道後",0,1,0,0,0,0,0,0,0,0,1
"3820101106","38","201","01","106","愛媛県","松山市","松山市","西町",0,1,0,0,0,0,0,0,0,0,1
"3820101107","38","201","01","107","愛媛県","松山市","松山市","樋又",0,1,0,0,0,0,0,0,0,0,1
"3820101108","38","201","01","108","愛媛県","松山市","松山市","湯之町",0,1,0,0,0,0,0,0,0,0,1
